Pokemon,Type1,Type2,HP,ATK,DEF,SPA,SPD,SPE,BST,Ability1,Ability2,Hidden Ability
Nidoking,Poison,Ground,81,102,77,85,75,85,505,Poison Point,Rivalry,Sheer Force
Clefairy,Fairy,,70,45,48,60,65,35,323,Cute Charm,Magic Guard,Friend Guard
Clefable,Fairy,,95,70,73,95,90,60,483,Cute Charm,Magic Guard,Unaware
Vulpix,Fire,,38,41,40,50,65,65,299,Flash Fire,,Drought
Vulpix-Alola,Ice,,38,41,40,50,65,65,299,Snow Cloak,,Snow Warning
Ninetales,Fire,,73,76,75,81,100,100,505,Flash Fire,,Drought
Ninetales-Alola,Ice,Fairy,73,67,75,81,100,109,505,Snow Cloak,,Snow Warning
Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,Cute Charm,Competitive,Friend Guard
Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,Cute Charm,Competitive,Frisk
Zubat,Poison,Flying,40,45,35,30,40,55,245,Inner Focus,,Infiltrator
Golbat,Poison,Flying,75,80,70,65,75,90,455,Inner Focus,,Infiltrator
Oddish,Grass,Poison,45,50,55,75,65,30,320,Chlorophyll,,Run Away
Gloom,Grass,Poison,60,65,70,85,75,40,395,Chlorophyll,,Stench
Vileplume,Grass,Poison,75,80,85,110,90,50,490,Chlorophyll,,Effect Spore
Paras,Bug,Grass,35,70,55,45,55,25,285,Effect Spore,Dry Skin,Damp
Parasect,Bug,Grass,60,95,80,60,80,30,405,Effect Spore,Dry Skin,Damp
Venonat,Bug,Poison,60,55,50,40,55,45,305,Compound Eyes,Tinted Lens,Run Away
Venomoth,Bug,Poison,70,65,60,90,75,90,450,Shield Dust,Tinted Lens,Wonder Skin
Diglett,Ground,,10,55,25,35,45,95,265,Sand Veil,Arena Trap,Sand Force
Diglett-Alola,Ground,Steel,10,55,30,35,45,90,265,Sand Veil,Tangling Hair,Sand Force
Dugtrio,Ground,,35,100,50,50,70,120,425,Sand Veil,Arena Trap,Sand Force
Dugtrio-Alola,Ground,Steel,35,100,60,50,70,110,425,Sand Veil,Tangling Hair,Sand Force
Meowth,Normal,,40,45,35,40,40,90,290,Pickup,Technician,Unnerve
Meowth-Gmax,Normal,,40,45,35,40,40,90,290,Pickup,Technician,Unnerve
Meowth-Alola,Dark,,40,35,35,50,40,90,290,Pickup,Technician,Rattled
Meowth-Galar,Steel,,50,65,55,40,40,40,290,Pickup,Tough Claws,Unnerve
Persian,Normal,,65,70,60,65,65,115,440,Limber,Technician,Unnerve
Persian-Alola,Dark,,65,60,60,75,65,115,440,Fur Coat,Technician,Rattled
Psyduck,Water,,50,52,48,65,50,55,320,Damp,Cloud Nine,Swift Swim
Golduck,Water,,80,82,78,95,80,85,500,Damp,Cloud Nine,Swift Swim
Mankey,Fighting,,40,80,35,35,45,70,305,Vital Spirit,Anger Point,Defiant
Primeape,Fighting,,65,105,60,60,70,95,455,Vital Spirit,Anger Point,Defiant
Growlithe,Fire,,55,70,45,70,50,60,350,Intimidate,Flash Fire,Justified
Growlithe-Hisui,Fire,Rock,60,75,45,65,50,55,350,Intimidate,Flash Fire,Rock Head
Arcanine,Fire,,90,110,80,100,80,95,555,Intimidate,Flash Fire,Justified
Arcanine-Hisui,Fire,Rock,95,115,80,95,80,90,555,Intimidate,Flash Fire,Rock Head
Poliwag,Water,,40,50,40,40,40,90,300,Water Absorb,Damp,Swift Swim
Poliwhirl,Water,,65,65,65,50,50,90,385,Water Absorb,Damp,Swift Swim
Poliwrath,Water,Fighting,90,95,95,70,90,70,510,Water Absorb,Damp,Swift Swim
Abra,Psychic,,25,20,15,105,55,90,310,Synchronize,Inner Focus,Magic Guard
Kadabra,Psychic,,40,35,30,120,70,105,400,Synchronize,Inner Focus,Magic Guard
Alakazam,Psychic,,55,50,45,135,95,120,500,Synchronize,Inner Focus,Magic Guard
Mega Alakazam,Psychic,,55,50,65,175,105,150,600,Trace,,
Machop,Fighting,,70,80,50,35,35,35,305,Guts,No Guard,Steadfast
Machoke,Fighting,,80,100,70,50,60,45,405,Guts,No Guard,Steadfast
Machamp,Fighting,,90,130,80,65,85,55,505,Guts,No Guard,Steadfast
Machamp-Gmax,Fighting,,90,130,80,65,85,55,505,Guts,No Guard,Steadfast
Bellsprout,Grass,Poison,50,75,35,70,30,40,300,Chlorophyll,,Gluttony
Weepinbell,Grass,Poison,65,90,50,85,45,55,390,Chlorophyll,,Gluttony
Victreebel,Grass,Poison,80,105,65,100,70,70,490,Chlorophyll,,Gluttony
Tentacool,Water,Poison,40,40,35,50,100,70,335,Clear Body,Liquid Ooze,Rain Dish
Tentacruel,Water,Poison,80,70,65,80,120,100,515,Clear Body,Liquid Ooze,Rain Dish
Geodude,Rock,Ground,40,80,100,30,30,20,300,Rock Head,Sturdy,Sand Veil
Geodude-Alola,Rock,Electric,40,80,100,30,30,20,300,Magnet Pull,Sturdy,Galvanize
Graveler,Rock,Ground,55,95,115,45,45,35,390,Rock Head,Sturdy,Sand Veil
Graveler-Alola,Rock,Electric,55,95,115,45,45,35,390,Magnet Pull,Sturdy,Galvanize
Golem,Rock,Ground,80,120,130,55,65,45,495,Rock Head,Sturdy,Sand Veil
Golem-Alola,Rock,Electric,80,120,130,55,65,45,495,Magnet Pull,Sturdy,Galvanize
Ponyta,Fire,,50,85,55,65,65,90,410,Run Away,Flash Fire,Flame Body
Ponyta-Galar,Psychic,,50,85,55,65,65,90,410,Run Away,Pastel Veil,Anticipation
Rapidash,Fire,,65,100,70,80,80,105,500,Run Away,Flash Fire,Flame Body
Rapidash-Galar,Psychic,Fairy,65,100,70,80,80,105,500,Run Away,Pastel Veil,Anticipation
Slowpoke,Water,Psychic,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator
Slowpoke-Galar,Psychic,,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator
Slowbro,Water,Psychic,95,75,110,100,80,30,490,Oblivious,Own Tempo,Regenerator
Slowbro-Galar,Poison,Psychic,95,100,95,100,70,30,490,Quick Draw,Own Tempo,Regenerator
Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,Shell Armor,,
Magnemite,Electric,Steel,25,35,70,95,55,45,325,Magnet Pull,Sturdy,Analytic
Magneton,Electric,Steel,50,60,95,120,70,70,465,Magnet Pull,Sturdy,Analytic
Farfetchd,Normal,Flying,52,90,55,58,62,60,377,Keen Eye,Inner Focus,Defiant
Farfetchd-Galar,Fighting,,52,95,55,58,62,55,377,Steadfast,,Scrappy
Doduo,Normal,Flying,35,85,45,35,35,75,310,Run Away,Early Bird,Tangled Feet
Dodrio,Normal,Flying,60,110,70,60,60,110,470,Run Away,Early Bird,Tangled Feet
Seel,Water,,65,45,55,45,70,45,325,Thick Fat,Hydration,Ice Body
Dewgong,Water,Ice,90,70,80,70,95,70,475,Thick Fat,Hydration,Ice Body
Grimer,Poison,,80,80,50,40,50,25,325,Stench,Sticky Hold,Poison Touch
Grimer-Alola,Poison,Dark,80,80,50,40,50,25,325,Poison Touch,Gluttony,Power of Alchemy
Muk,Poison,,105,105,75,65,100,50,500,Stench,Sticky Hold,Poison Touch
Muk-Alola,Poison,Dark,105,105,75,65,100,50,500,Poison Touch,Gluttony,Power of Alchemy
Shellder,Water,,30,65,100,45,25,40,305,Shell Armor,Skill Link,Overcoat
Cloyster,Water,Ice,50,95,180,85,45,70,525,Shell Armor,Skill Link,Overcoat
Gastly,Ghost,Poison,30,35,30,100,35,80,310,Levitate,,
Haunter,Ghost,Poison,45,50,45,115,55,95,405,Levitate,,
Gengar,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,,
Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600,Shadow Tag,,
Gengar-Gmax,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,,
Onix,Rock,Ground,35,45,160,30,45,70,385,Rock Head,Sturdy,Weak Armor
Drowzee,Psychic,,60,48,45,43,90,42,328,Insomnia,Forewarn,Inner Focus
Hypno,Psychic,,85,73,70,73,115,67,483,Insomnia,Forewarn,Inner Focus
Krabby,Water,,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force
Kingler,Water,,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force
Kingler-Gmax,Water,,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force
Voltorb,Electric,,40,30,50,55,55,100,330,Soundproof,Static,Aftermath
Voltorb-Hisui,Electric,Grass,40,30,50,55,55,100,330,Soundproof,Static,Aftermath
Electrode,Electric,,60,50,70,80,80,150,490,Soundproof,Static,Aftermath
Electrode-Hisui,Electric,Grass,60,50,70,80,80,150,490,Soundproof,Static,Aftermath
Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,Chlorophyll,,Harvest
Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,Chlorophyll,,Harvest
Exeggutor-Alola,Grass,Dragon,95,105,85,125,75,45,530,Frisk,,Harvest
Cubone,Ground,,50,50,95,40,50,35,320,Rock Head,Lightning Rod,Battle Armor
Marowak,Ground,,60,80,110,50,80,45,425,Rock Head,Lightning Rod,Battle Armor
Marowak-Alola,Fire,Ghost,60,80,110,50,80,45,425,Cursed Body,Lightning Rod,Rock Head
Hitmonlee,Fighting,,50,120,53,35,110,87,455,Limber,Reckless,Unburden
Hitmonchan,Fighting,,50,105,79,35,110,76,455,Keen Eye,Iron Fist,Inner Focus
Lickitung,Normal,,90,55,75,60,75,30,385,Own Tempo,Oblivious,Cloud Nine
Koffing,Poison,,40,65,95,60,45,35,340,Levitate,Neutralizing Gas,Stench
Weezing,Poison,,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Stench
Weezing-Galar,Poison,Fairy,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Misty Surge
Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,Lightning Rod,Rock Head,Reckless
Rhydon,Ground,Rock,105,130,120,45,45,40,485,Lightning Rod,Rock Head,Reckless
Chansey,Normal,,250,5,5,35,105,50,450,Natural Cure,Serene Grace,Healer
Tangela,Grass,,65,55,115,100,40,60,435,Chlorophyll,Leaf Guard,Regenerator
Kangaskhan,Normal,,105,95,80,40,80,90,490,Early Bird,Scrappy,Inner Focus
Mega Kangaskhan,Normal,,105,125,100,60,100,100,590,Parental Bond,,
Horsea,Water,,30,40,70,70,25,60,295,Swift Swim,Sniper,Damp
Seadra,Water,,55,65,95,95,45,85,440,Poison Point,Sniper,Damp
Goldeen,Water,,45,67,60,35,50,63,320,Swift Swim,Water Veil,Lightning Rod
Seaking,Water,,80,92,65,65,80,68,450,Swift Swim,Water Veil,Lightning Rod
Staryu,Water,,30,45,55,70,55,85,340,Illuminate,Natural Cure,Analytic
Starmie,Water,Psychic,60,75,85,100,85,115,520,Illuminate,Natural Cure,Analytic
Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,Soundproof,Filter,Technician
Mr. Mime-Galar,Ice,Psychic,50,65,65,90,90,100,460,Vital Spirit,Screen Cleaner,Ice Body
Scyther,Bug,Flying,70,110,80,55,80,105,500,Swarm,Technician,Steadfast
Jynx,Ice,Psychic,65,50,35,115,95,95,455,Oblivious,Forewarn,Dry Skin
Electabuzz,Electric,,65,83,57,95,85,105,490,Static,,Vital Spirit
Magmar,Fire,,65,95,57,100,85,93,495,Flame Body,,Vital Spirit
Pinsir,Bug,,65,125,100,55,70,85,500,Hyper Cutter,Mold Breaker,Moxie
Mega Pinsir,Bug,Flying,65,155,120,65,90,105,600,Aerilate,,
Tauros,Normal,,75,100,95,40,70,110,490,Intimidate,Anger Point,Sheer Force
Tauros-Paldea,Fighting,,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew
Tauros-PaldeaBlaze,Fighting,Fire,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew
Tauros-PaldeaAqua,Fighting,Water,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew
Magikarp,Water,,20,10,55,15,20,80,200,Swift Swim,,Rattled
Gyarados,Water,Flying,95,125,79,60,100,81,540,Intimidate,,Moxie
Mega Gyarados,Water,Dark,95,155,109,70,130,81,640,Mold Breaker,,
Lapras,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration
Lapras-Gmax,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration
Ditto,Normal,,48,48,48,48,48,48,288,Limber,,Imposter
Eevee,Normal,,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation
Eevee-Gmax,Normal,,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation
Vaporeon,Water,,130,65,60,110,95,65,525,Water Absorb,,Hydration
Jolteon,Electric,,65,65,60,110,95,130,525,Volt Absorb,,Quick Feet
Flareon,Fire,,65,130,60,95,110,65,525,Flash Fire,,Guts
Porygon,Normal,,65,60,70,85,75,40,395,Trace,Download,Analytic
Omanyte,Rock,Water,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor
Omastar,Rock,Water,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor
Kabuto,Rock,Water,30,80,90,55,45,55,355,Swift Swim,Battle Armor,Weak Armor
Kabutops,Rock,Water,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor
Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve
Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,615,Tough Claws,,
Snorlax,Normal,,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony
Snorlax-Gmax,Normal,,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony
Articuno,Ice,Flying,90,85,100,95,125,85,580,Pressure,,Snow Cloak
Zapdos,Electric,Flying,90,90,85,125,90,100,580,Pressure,,Static
Moltres,Fire,Flying,90,100,90,125,85,90,580,Pressure,,Flame Body
Dratini,Dragon,,41,64,45,50,50,50,300,Shed Skin,,Marvel Scale
Dragonair,Dragon,,61,84,65,70,70,70,420,Shed Skin,,Marvel Scale
Dragonite,Dragon,Flying,91,134,95,100,100,80,600,Inner Focus,,Multiscale
Mewtwo,Psychic,,106,110,90,154,90,130,680,Pressure,,Unnerve
Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,780,Steadfast,,
Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,780,Insomnia,,
Mew,Psychic,,100,100,100,100,100,100,600,Synchronize,,
Chikorita,Grass,,45,49,65,49,65,45,318,Overgrow,,Leaf Guard
Bayleef,Grass,,60,62,80,63,80,60,405,Overgrow,,Leaf Guard
Meganium,Grass,,80,82,100,83,100,80,525,Overgrow,,Leaf Guard
Cyndaquil,Fire,,39,52,43,60,50,65,309,Blaze,,Flash Fire
Quilava,Fire,,58,64,58,80,65,80,405,Blaze,,Flash Fire
Typhlosion,Fire,,78,84,78,109,85,100,534,Blaze,,Flash Fire
Typhlosion-Hisui,Fire,Ghost,73,84,78,119,85,95,534,Blaze,,Frisk
Totodile,Water,,50,65,64,44,48,43,314,Torrent,,Sheer Force
Croconaw,Water,,65,80,80,59,63,58,405,Torrent,,Sheer Force
Feraligatr,Water,,85,105,100,79,83,78,530,Torrent,,Sheer Force
Sentret,Normal,,35,46,34,35,45,20,215,Run Away,Keen Eye,Frisk
Furret,Normal,,85,76,64,45,55,90,415,Run Away,Keen Eye,Frisk
Hoothoot,Normal,Flying,60,30,30,36,56,50,262,Insomnia,Keen Eye,Tinted Lens
Noctowl,Normal,Flying,100,50,50,86,96,70,452,Insomnia,Keen Eye,Tinted Lens
Ledyba,Bug,Flying,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled
Ledian,Bug,Flying,55,35,50,55,110,85,390,Swarm,Early Bird,Iron Fist
Spinarak,Bug,Poison,40,60,40,40,40,30,250,Swarm,Insomnia,Sniper
Ariados,Bug,Poison,70,90,70,60,70,40,400,Swarm,Insomnia,Sniper
Crobat,Poison,Flying,85,90,80,70,80,130,535,Inner Focus,,Infiltrator
Chinchou,Water,Electric,75,38,38,56,56,67,330,Volt Absorb,Illuminate,Water Absorb
Lanturn,Water,Electric,125,58,58,76,76,67,460,Volt Absorb,Illuminate,Water Absorb
Pichu,Electric,,20,40,15,35,35,60,205,Static,,Lightning Rod
Cleffa,Fairy,,50,25,28,45,55,15,218,Cute Charm,Magic Guard,Friend Guard
Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,Cute Charm,Competitive,Friend Guard
Togepi,Fairy,,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck
Togetic,Fairy,Flying,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck
Natu,Psychic,Flying,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce
Xatu,Psychic,Flying,65,75,70,95,70,95,470,Synchronize,Early Bird,Magic Bounce
Mareep,Electric,,55,40,40,65,45,35,280,Static,,Plus
Flaaffy,Electric,,70,55,55,80,60,45,365,Static,,Plus
Ampharos,Electric,,90,75,85,115,90,55,510,Static,,Plus
Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,610,Mold Breaker,,
Bellossom,Grass,,75,80,95,90,100,50,490,Chlorophyll,,Healer
Marill,Water,Fairy,70,20,50,20,50,40,250,Thick Fat,Huge Power,Sap Sipper
Azumarill,Water,Fairy,100,50,80,60,80,50,420,Thick Fat,Huge Power,Sap Sipper
Sudowoodo,Rock,,70,100,115,30,65,30,410,Sturdy,Rock Head,Rattled
Politoed,Water,,90,75,75,90,100,70,500,Water Absorb,Damp,Drizzle
Hoppip,Grass,Flying,35,35,40,35,55,50,250,Chlorophyll,Leaf Guard,Infiltrator
Skiploom,Grass,Flying,55,45,50,45,65,80,340,Chlorophyll,Leaf Guard,Infiltrator
Jumpluff,Grass,Flying,75,55,70,55,95,110,460,Chlorophyll,Leaf Guard,Infiltrator
Aipom,Normal,,55,70,55,40,55,85,360,Run Away,Pickup,Skill Link
Sunkern,Grass,,30,30,30,30,30,30,180,Chlorophyll,Solar Power,Early Bird
Sunflora,Grass,,75,75,55,105,85,30,425,Chlorophyll,Solar Power,Early Bird
Yanma,Bug,Flying,65,65,45,75,45,95,390,Speed Boost,Compound Eyes,Frisk
Wooper,Water,Ground,55,45,45,25,25,15,210,Damp,Water Absorb,Unaware
Wooper-Paldea,Poison,Ground,55,45,45,25,25,15,210,Poison Point,Water Absorb,Unaware
Quagsire,Water,Ground,95,85,85,65,65,35,430,Damp,Water Absorb,Unaware
Espeon,Psychic,,65,65,60,130,95,110,525,Synchronize,,Magic Bounce
Umbreon,Dark,,95,65,110,60,130,65,525,Synchronize,,Inner Focus
Murkrow,Dark,Flying,60,85,42,85,42,91,405,Insomnia,Super Luck,Prankster
Slowking,Water,Psychic,95,75,80,100,110,30,490,Oblivious,Own Tempo,Regenerator
Misdreavus,Ghost,,60,60,60,85,85,85,435,Levitate,,
Unown,Psychic,,48,72,48,72,48,48,336,Levitate,,
Wobbuffet,Psychic,,190,33,58,33,58,33,405,Shadow Tag,,Telepathy
Girafarig,Normal,Psychic,70,80,65,90,65,85,455,Inner Focus,Early Bird,Sap Sipper
Pineco,Bug,,50,65,90,35,35,15,290,Sturdy,,Overcoat
Forretress,Bug,Steel,75,90,140,60,60,40,465,Sturdy,,Overcoat
Dunsparce,Normal,,100,70,70,65,65,45,415,Serene Grace,Run Away,Rattled
Gligar,Ground,Flying,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,Immunity
Steelix,Steel,Ground,75,85,200,55,65,30,510,Rock Head,Sturdy,Sheer Force
Mega Steelix,Ground,Steel,75,125,230,55,95,30,610,Sand Force,,
Snubbull,Fairy,,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled
Granbull,Fairy,,90,120,75,60,60,45,450,Intimidate,Quick Feet,Rattled
Qwilfish,Water,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate
Qwilfish-Hisui,Dark,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate
Scizor,Bug,Steel,70,130,100,55,80,65,500,Swarm,Technician,Light Metal
Mega Scizor,Bug,Steel,70,150,140,65,100,75,600,Technician,,
Shuckle,Bug,Rock,20,10,230,10,230,5,505,Sturdy,Gluttony,Contrary
Heracross,Bug,Fighting,80,125,75,40,95,85,500,Swarm,Guts,Moxie
Mega Heracross,Bug,Fighting,80,185,115,40,105,75,600,Skill Link,,
Sneasel,Dark,Ice,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket
Sneasel-Hisui,Fighting,Poison,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket
Teddiursa,Normal,,60,80,50,50,50,40,330,Pickup,Quick Feet,Honey Gather
Ursaring,Normal,,90,130,75,75,75,55,500,Guts,Quick Feet,Unnerve
Slugma,Fire,,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor
Magcargo,Fire,Rock,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor
Swinub,Ice,Ground,50,50,40,30,30,50,250,Oblivious,Snow Cloak,Thick Fat
Piloswine,Ice,Ground,100,100,80,60,60,50,450,Oblivious,Snow Cloak,Thick Fat
Corsola,Water,Rock,65,55,95,65,95,35,410,Hustle,Natural Cure,Regenerator
Corsola-Galar,Ghost,,60,55,100,65,100,30,410,Weak Armor,,Cursed Body
Remoraid,Water,,35,65,35,65,35,65,300,Hustle,Sniper,Moody
Octillery,Water,,75,105,75,105,75,45,480,Suction Cups,Sniper,Moody
Delibird,Ice,Flying,45,55,45,65,45,75,330,Vital Spirit,Hustle,Insomnia
Mantine,Water,Flying,85,40,70,80,140,70,485,Swift Swim,Water Absorb,Water Veil
Skarmory,Steel,Flying,65,80,140,40,70,70,465,Keen Eye,Sturdy,Weak Armor
Houndour,Dark,Fire,45,60,30,80,50,65,330,Early Bird,Flash Fire,Unnerve
Houndoom,Dark,Fire,75,90,50,110,80,95,500,Early Bird,Flash Fire,Unnerve
Mega Houndoom,Dark,Fire,75,90,90,140,90,115,600,Solar Power,,
Kingdra,Water,Dragon,75,95,95,95,95,85,540,Swift Swim,Sniper,Damp
Phanpy,Ground,,90,60,60,40,40,40,330,Pickup,,Sand Veil
Donphan,Ground,,90,120,120,60,60,50,500,Sturdy,,Sand Veil
Porygon2,Normal,,85,80,90,105,95,60,515,Trace,Download,Analytic
Stantler,Normal,,73,95,62,85,65,85,465,Intimidate,Frisk,Sap Sipper
Smeargle,Normal,,55,20,35,20,45,75,250,Own Tempo,Technician,Moody
Tyrogue,Fighting,,35,35,35,35,35,35,210,Guts,Steadfast,Vital Spirit
Hitmontop,Fighting,,50,95,95,35,110,70,455,Intimidate,Technician,Steadfast
Smoochum,Ice,Psychic,45,30,15,85,65,65,305,Oblivious,Forewarn,Hydration
Elekid,Electric,,45,63,37,65,55,95,360,Static,,Vital Spirit
Magby,Fire,,45,75,37,70,55,83,365,Flame Body,,Vital Spirit
Miltank,Normal,,95,80,105,40,70,100,490,Thick Fat,Scrappy,Sap Sipper
Blissey,Normal,,255,10,10,75,135,55,540,Natural Cure,Serene Grace,Healer
Raikou,Electric,,90,85,75,115,100,115,580,Pressure,,Inner Focus
Entei,Fire,,115,115,85,90,75,100,580,Pressure,,Inner Focus
Suicune,Water,,100,75,115,90,115,85,580,Pressure,,Inner Focus
Larvitar,Rock,Ground,50,64,50,45,50,41,300,Guts,,Sand Veil
Pupitar,Rock,Ground,70,84,70,65,70,51,410,Shed Skin,,
Tyranitar,Rock,Dark,100,134,110,95,100,61,600,Sand Stream,,Unnerve
Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700,Sand Stream,,
